model,lr,beta,num_rules,mean_acc,std_acc,train_acc,val_acc
KeGAT,0.001,0.5,4,0.7516667246818542,0.017897868528962135,0.9485118389129639,0.6951866745948792
KeGAT,0.01,0.1,2,0.7490000128746033,0.0060827722772955894,0.9924525022506714,0.7321866750717163
KeGAT,0.001,0.1,4,0.7486667037010193,0.009291578084230423,0.9581308960914612,0.7080733776092529
KeGAT,0.01,0.1,3,0.7479999661445618,0.010535667650401592,0.9929642677307129,0.7148100137710571
KeGAT,0.005,0.5,3,0.7479999661445618,0.010816638357937336,0.9885833859443665,0.7239500284194946
KeGAT,0.001,0.1,3,0.7479999661445618,0.017999976873397827,0.9612619280815125,0.7151466608047485
KeGAT,0.005,1.0,3,0.7473333477973938,0.0040414342656731606,0.9887142181396484,0.7267200350761414
KeGAT,0.01,0.5,4,0.7456666827201843,0.0030550695955753326,0.9919762015342712,0.7097066640853882
KeGAT,0.01,1.0,2,0.7453333735466003,0.019857831299304962,0.9919404983520508,0.6999999284744263
KeGAT,0.005,1.0,2,0.7449999451637268,0.009539388120174408,0.9896189570426941,0.724530041217804
KeGAT,0.005,1.0,4,0.7436666488647461,0.016921384260058403,0.9853095412254333,0.7189266681671143
KeGAT,0.005,0.5,4,0.7426666617393494,0.02122107893228531,0.990059494972229,0.7178432941436768
KeGAT,0.001,0.5,2,0.7423333525657654,0.019655350595712662,0.9537023901939392,0.7026100754737854
KeGAT,0.005,0.1,4,0.7420000433921814,0.03386738523840904,0.9884523749351501,0.731190025806427
KeGAT,0.01,1.0,3,0.7416667342185974,0.017785780131816864,0.9929166436195374,0.7112333178520203
KeGAT,0.01,0.1,4,0.7416666150093079,0.01814751885831356,0.9925237894058228,0.7071300148963928
KeGAT,0.005,0.5,2,0.7413333058357239,0.012055422179400921,0.9875357151031494,0.7131566405296326
KeGAT,0.001,1.0,2,0.7390000224113464,0.020074861124157906,0.9380713701248169,0.6691133379936218
KeGAT,0.005,0.1,2,0.7386667132377625,0.01962989754974842,0.9896904230117798,0.7119166851043701
KeGAT,0.001,1.0,3,0.7386667132377625,0.019731517881155014,0.9573095440864563,0.7063999176025391
KeGAT,0.001,0.1,2,0.737666666507721,0.02362905628979206,0.9546309113502502,0.6993099451065063
KeGAT,0.01,1.0,4,0.7376666069030762,0.015176749788224697,0.9917857646942139,0.7120500206947327
KeGAT,0.005,0.1,3,0.7363333702087402,0.027024680748581886,0.9890356659889221,0.7160032987594604
KeGAT,0.01,0.5,2,0.7296666502952576,0.0260832030326128,0.9914642572402954,0.7188933491706848
KeGAT,0.001,0.5,3,0.699999988079071,0.05267827957868576,0.9584880471229553,0.6783667206764221
